"","name","country","age","overall","potential","club","pos","value","wage"
"1","Virgil van Dijk","Netherlands",29,90,90,"Liverpool","CB",1e+08,240000
"2","Marcos Aoás Corrêa","Brazil",27,88,91,"Paris Saint-Germain","CB",103500000,160000
"3","Rúben Santos Gato Alves Dias","Portugal",24,88,91,"Manchester City","CB",111500000,210000
"4","Milan Škriniar","Slovakia",26,86,87,"Inter","CB",7e+07,150000
"5","Antonio Rüdiger","Germany",28,86,87,"Chelsea","CB",64500000,170000
"6","Aymeric Laporte","Spain",27,86,88,"Manchester City","CB",72500000,185000
"7","Thiago Emiliano da Silva","Brazil",36,86,86,"Chelsea","CB",1.2e+07,115000
"8","David Alaba","Austria",29,85,85,"Real Madrid CF","CB",4.5e+07,210000
"9","Leonardo Bonucci","Italy",34,85,85,"Juventus","CB",17500000,110000
"10","Raphaël Varane","France",28,85,86,"Manchester United","CB",5.1e+07,170000
"11","Sergio Ramos García","Spain",35,85,85,"Paris Saint-Germain","CB",14500000,82000
"12","Matthijs de Ligt","Netherlands",21,85,89,"Juventus","CB",7.1e+07,81000
"13","Mats Hummels","Germany",32,84,84,"Borussia Dortmund","CB",27500000,79000
"14","Stefan Savic","Montenegro",30,84,84,"Atlético de Madrid","CB",34500000,74000
"15","Gerard Piqué Bernabeu","Spain",34,84,84,"FC Barcelona","CB",13500000,175000
"16","Joel Matip","Cameroon",29,84,84,"Liverpool","CB",35500000,145000
"17","Niklas Süle","Germany",25,84,86,"FC Bayern München","CB",4.7e+07,95000
"18","César Azpilicueta Tanco","Spain",31,83,83,"Chelsea","CB",2.5e+07,125000
"19","Alessandro Bastoni","Italy",22,83,89,"Inter","CB",5.3e+07,1e+05
"20","Jules Koundé","France",22,83,89,"Sevilla FC","CB",5.3e+07,33000
"21","Sebastián Coates","Uruguay",30,83,83,"Sporting CP","CB",3e+07,21000
"22","Felipe Augusto de Almeida Monteiro","Brazil",32,83,83,"Atlético de Madrid","CB",23500000,68000
"23","Francesco Acerbi","Italy",33,83,83,"Lazio","CB",17500000,75000
"24","Éder Gabriel Militão","Brazil",23,83,90,"Real Madrid CF","CB",67500000,145000
"25","Simon Kjær","Denmark",32,83,83,"AC Milan","CB",23500000,54000
"26","Matthias Ginter","Germany",27,83,84,"Borussia Mönchengladbach","CB",36500000,41000
"27","Diego Carlos Santos Silva","Brazil",28,82,83,"Sevilla FC","CB",2.9e+07,37000
"28","Fikayo Tomori","England",23,82,88,"AC Milan","CB",43500000,42000
"29","Ronald Araujo","Uruguay",22,82,89,"FC Barcelona","CB",57500000,125000
"30","Andreas Christensen","Denmark",25,82,86,"Chelsea","CB",3.8e+07,110000
"31","Josué Durval Chiamulera Vaz","Brazil",29,82,82,"Grêmio","CB",25500000,41000
"32","Pau Francisco Torres","Spain",24,82,89,"Villarreal CF","CB",56500000,35000
"33","Kostas Manolas","Greece",30,82,82,"Olympiacos CFP","CB",2.5e+07,2000
"34","Raúl Albiol Tortajada","Spain",35,82,82,"Villarreal CF","CB",8e+06,30000
"35","Mario Hermoso Canseco","Spain",26,82,85,"Atlético de Madrid","CB",35500000,62000
"36","Cristian Romero","Argentina",23,82,87,"Tottenham Hotspur","CB",41500000,51000
"37","Gabriel Armando de Abreu","Brazil",30,82,82,"Valencia CF","CB",2.5e+07,44000
"38","Manuel Akanji","Switzerland",25,82,84,"Borussia Dortmund","CB",3.4e+07,63000
"39","Képler Laveran Lima Ferreira","Portugal",38,82,82,"FC Porto","CB",5500000,14000
"40","Harry Maguire","England",28,81,82,"Manchester United","CB",24500000,120000
"41","Kurt Zouma","France",26,81,84,"West Ham United","CB",3e+07,75000
"42","Juan Everton Mestres de Mesquita","Brazil",25,81,81,"Clube Atlético Mineiro","CB",2.5e+07,41000
"43","Gabriel dos S. Magalhães","Brazil",23,81,87,"Arsenal","CB",3.7e+07,74000
"44","Willi Orban","Hungary",28,81,81,"RB Leipzig","CB",2.2e+07,79000
"45","Jan Vertonghen","Belgium",34,81,81,"SL Benfica","CB",8500000,18000
"46","Alessio Romagnoli","Italy",26,81,81,"AC Milan","CB",24500000,46000
"47","Joe Gomez","England",24,81,86,"Liverpool","CB",3.5e+07,90000
"48","José Ignacio Fernández Iglesias","Spain",31,81,81,"Real Madrid CF","CB",17500000,140000
"49","Clément Lenglet","France",26,80,83,"FC Barcelona","CB",24500000,125000
"50","Nico Schlotterbeck","Germany",21,80,86,"Sport-Club Freiburg","CB",3.1e+07,23000
"51","Angelo Ogbonna","Italy",33,80,80,"West Ham United","CB",1e+07,70000
"52","Ibrahima Konaté","France",22,80,88,"Liverpool","CB",44500000,85000
"53","José Miguel da Rocha Fonte","Portugal",37,80,80,"LOSC Lille","CB",3800000,28000
"54","Dakonam Djené","Togo",29,80,80,"Getafe CF","CB",17500000,34000
"55","Aritz Elustondo","Spain",27,80,82,"Real Sociedad","CB",22500000,36000
"56","Tony Josimar Abranjes Meneses","Brazil",33,80,80,"Internacional","CB",1e+07,32000
"57","Evan Ndicka","France",21,80,85,"Eintracht Frankfurt","CB",29500000,23000
"58","Lisandro Martínez","Argentina",23,80,85,"Ajax","CB",2.9e+07,17000
"59","Medhi Benatia","Morocco",34,80,80,"Fatih Karagümrük S.K.","CB",7e+06,19000
