"","name","country","age","overall","potential","club","pos","value","wage"
"1","Kevin De Bruyne","Belgium",30,91,91,"Manchester City","CM",125500000,350000
"2","Luka Modric","Croatia",35,88,88,"Real Madrid CF","CM",36500000,230000
"3","Toni Kroos","Germany",31,88,88,"Real Madrid CF","CM",7.5e+07,310000
"4","Leon Goretzka","Germany",26,88,89,"FC Bayern München","CM",1.07e+08,165000
"5","Frenkie de Jong","Netherlands",24,87,92,"FC Barcelona","CM",119500000,210000
"6","Marco Verratti","Italy",28,87,87,"Paris Saint-Germain","CM",79500000,155000
"7","Paul Pogba","France",28,86,86,"Manchester United","CM",6.8e+07,2e+05
"8","Thiago Alcântara","Spain",30,86,86,"Liverpool","CM",6.5e+07,180000
"9","Daniel Parejo Muñoz","Spain",32,86,86,"Villarreal CF","CM",53500000,64000
"10","Nicolò Barella","Italy",24,85,88,"Inter","CM",7.3e+07,130000
"11","Jorge Resurrección","Spain",29,85,85,"Atlético de Madrid","CM",52500000,90000
"12","Sergej Milinkovic-Savic","Serbia",26,85,86,"Lazio","CM",6.3e+07,1e+05
"13","Marcos Llorente Moreno","Spain",26,85,86,"Atlético de Madrid","CM",6.3e+07,89000
"14","Luiz Frello Filho Jorge","Italy",29,85,85,"Chelsea","CM",52500000,170000
"15","Ilkay Gündogan","Germany",30,85,85,"Manchester City","CM",51500000,185000
"16","Pedro González López","Spain",18,84,92,"FC Barcelona","CM",88500000,66000
"17","Youri Tielemans","Belgium",24,84,87,"Leicester City","CM",5.7e+07,125000
"18","Rúben Diogo da Silva Neves","Portugal",24,83,88,"Wolverhampton Wanderers","CM",54500000,95000
"19","Federico Valverde","Uruguay",22,83,89,"Real Madrid CF","CM",5.8e+07,160000
"20","Jordan Henderson","England",31,83,83,"Liverpool","CM",3e+07,135000
"21","José Paulo Bezerra M. Júnior","Brazil",32,83,83,"Al Ahli","CM",28500000,61000
"22","Rodrigo Javier De Paul","Argentina",27,83,84,"Atlético de Madrid","CM",41500000,74000
"23","Mikel Merino Zazón","Spain",25,83,87,"Real Sociedad","CM",5e+07,47000
"24","Fabián Ruiz Peña","Spain",25,82,84,"Napoli","CM",3.8e+07,77000
"25","Ivan Rakitic","Croatia",33,82,82,"Sevilla FC","CM",18500000,39000
"26","Éver Banega","Argentina",33,82,82,"Al Shabab","CM",18500000,51000
"27","Jude Bellingham","England",18,82,90,"Borussia Dortmund","CM",6.4e+07,25000
"28","Hakan Çalhanoglu","Turkey",27,82,82,"Inter","CM",3.2e+07,115000
"29","Christian Eriksen","Denmark",29,82,82,"Brentford","CM",29500000,71000
"30","Piotr Zielinski","Poland",27,82,83,"Napoli","CM",3.5e+07,80000
"31","Georginio Wijnaldum","Netherlands",30,82,82,"Paris Saint-Germain","CM",2.9e+07,95000
"32","Héctor Herrera","Mexico",31,81,81,"Atlético de Madrid","CM",2.1e+07,63000
"33","Sergi Darder Moll","Spain",27,81,81,"RCD Espanyol de Barcelona","CM",27500000,27000
"34","Arthur Henrique Ramos Oliveira Melo","Brazil",24,81,83,"Juventus","CM",3.3e+07,76000
"35","Aurélien Tchouaméni","France",21,81,88,"AS Monaco","CM",5.2e+07,46000
"36","José Gómez Campaña","Spain",28,81,81,"Levante Unión Deportiva","CM",25500000,39000
"37","João Filipe Moutinho","Portugal",34,81,81,"Wolverhampton Wanderers","CM",1.2e+07,95000
"38","Arturo Vidal","Chile",34,81,81,"Inter","CM",1.2e+07,105000
"39","Miralem Pjanic","Bosnia and Herzegovina",31,81,81,"Besiktas JK","CM",2.1e+07,145000
"40","Carlos Soler Barragán","Spain",24,81,86,"Valencia CF","CM",38500000,39000
"41","Marcel Sabitzer","Austria",27,81,81,"FC Bayern München","CM",27500000,83000
"42","James Ward-Prowse","England",26,81,82,"Southampton","CM",3e+07,69000
"43","Florian Neuhaus","Germany",24,81,85,"Borussia Mönchengladbach","CM",36500000,33000
"44","Kerem Demirbay","Germany",27,81,81,"Bayer 04 Leverkusen","CM",27500000,62000
"45","Adrien Rabiot","France",26,81,82,"Juventus","CM",3e+07,87000
"46","Marek Hamšík","Slovakia",33,80,80,"Trabzonspor","CM",1.3e+07,35000
"47","Kevin Kampl","Slovenia",30,80,80,"RB Leipzig","CM",2e+07,78000
"48","Remo Freuler","Switzerland",29,80,80,"Atalanta","CM",20500000,58000
"49","Corentin Tolisso","France",26,80,80,"FC Bayern München","CM",2.3e+07,78000
"50","Saúl Ñíguez Esclápez","Spain",26,80,81,"Chelsea","CM",24500000,58000
"51","Sérgio Miguel Relvas de Oliveira","Portugal",29,80,80,"Roma","CM",20500000,19000
"52","Bruno Guimarães Moura","Brazil",23,80,85,"Newcastle United","CM",31500000,43000
"53","Seko Fofana","Côte d'Ivoire",26,80,83,"Racing Club de Lens","CM",27500000,37000
"54","Daniel Wass","Denmark",32,80,80,"Atlético de Madrid","CM",16500000,58000
"55","Renato Júnior Luz Sanches","Portugal",23,80,86,"LOSC Lille","CM",3.3e+07,38000
"56","Mattéo Guendouzi","France",22,80,86,"Olympique de Marseille","CM",33500000,77000
"57","Francis Coquelin","France",30,80,80,"Villarreal CF","CM",2e+07,39000
"58","Mateus Uribe","Colombia",30,80,80,"FC Porto","CM",2e+07,18000
"59","Joan Jordán Moreno","Spain",26,80,81,"Sevilla FC","CM",24500000,33000
"60","Mahmoud Dahoud","Germany",25,80,82,"Borussia Dortmund","CM",26500000,59000
"61","Giovani Lo Celso","Argentina",25,80,83,"Villarreal CF","CM",27500000,90000
"62","Hans Vanaken","Belgium",28,79,79,"Club Brugge KV","CM",17500000,32000
"63","John McGinn","Scotland",26,79,80,"Aston Villa","CM",20500000,71000
"64","Lovro Majer","Croatia",23,79,84,"Stade Rennais FC","CM",26500000,45000
"65","Eduardo Camavinga","France",18,79,89,"Real Madrid CF","CM",3.7e+07,48000
"66","Matheus Luiz Nunes","Portugal",22,79,86,"Sporting CP","CM",35500000,15000
"67","Teun Koopmeiners","Netherlands",23,79,83,"Atalanta","CM",2.5e+07,46000
"68","Abdoulaye Doucouré","France",28,79,79,"Everton","CM",17500000,87000
"69","Geoffrey Kondogbia","Central African Republic",28,79,79,"Atlético de Madrid","CM",17500000,58000
"70","Mousa Dembélé","Belgium",33,79,79,"Guangzhou City","CM",1.1e+07,21000
"71","Tanguy Ndombele","France",24,79,84,"Olympique Lyonnais","CM",26500000,77000
"72","André-Franck Zambo Anguissa","Cameroon",25,79,82,"Napoli","CM",2.3e+07,62000
"73","Stefano Sensi","Italy",25,79,82,"U.C. Sampdoria","CM",2.3e+07,89000
"74","Donny van de Beek","Netherlands",24,79,84,"Everton","CM",26500000,95000
"75","Julian Weigl","Germany",25,79,82,"SL Benfica","CM",2.3e+07,16000
