"","name","country","age","overall","potential","club","pos","value","wage"
"1","Manuel Neuer","Germany",35,90,90,"FC Bayern München","GK",13500000,86000
"2","Jan Oblak","Slovenia",28,89,91,"Atlético de Madrid","GK",8.8e+07,1e+05
"3","Alisson Ramses Becker","Brazil",28,89,90,"Liverpool","GK",8.2e+07,190000
"4","Ederson Santana de Moraes","Brazil",27,89,91,"Manchester City","GK",9.4e+07,2e+05
"5","Marc-André ter Stegen","Germany",29,88,89,"FC Barcelona","GK",7e+07,230000
"6","Keylor Navas","Costa Rica",34,88,88,"Paris Saint-Germain","GK",15500000,130000
"7","Gianluigi Donnarumma","Italy",22,88,92,"Paris Saint-Germain","GK",1.06e+08,110000
"8","David De Gea Quintana","Spain",30,87,87,"Manchester United","GK",5.3e+07,150000
"9","Wojciech Szczęsny","Poland",31,86,86,"Juventus","GK",3.6e+07,1e+05
"10","Édouard Mendy","Senegal",29,86,87,"Chelsea","GK",5.2e+07,140000
"11","Koen Casteels","Belgium",29,85,86,"VfL Wolfsburg","GK",41500000,81000
"12","Mike Maignan","France",25,85,90,"AC Milan","GK",6.3e+07,49000
"13","Samir Handanovič","Slovenia",36,85,85,"Inter","GK",6e+06,72000
"14","Yann Sommer","Switzerland",32,85,85,"Borussia Mönchengladbach","GK",26500000,40000
"15","Kevin Trapp","Germany",30,84,84,"Eintracht Frankfurt","GK",2.8e+07,37000
"16","Kasper Schmeichel","Denmark",34,84,84,"Leicester City","GK",7e+06,105000
"17","Emiliano Martínez","Argentina",28,84,84,"Aston Villa","GK",3e+07,81000
"18","Lukáš Hrádecký","Finland",31,83,83,"Bayer 04 Leverkusen","GK",1.9e+07,55000
"19","Oliver Baumann","Germany",31,83,83,"TSG Hoffenheim","GK",1.9e+07,40000
"20","Unai Simón Mendibil","Spain",24,82,85,"Athletic Club de Bilbao","GK",32500000,24000
"21","Raphael William Anjos Rochedo","Brazil",33,82,82,"RB Bragantino","GK",1e+07,20000
"22","Gregor Kobel","Switzerland",23,82,87,"Borussia Dortmund","GK",3.7e+07,44000
"23","Łukasz Fabiański","Poland",36,82,82,"West Ham United","GK",3400000,43000
"24","Anthony Lopes","Portugal",30,82,82,"Olympique Lyonnais","GK",20500000,60000
"25","Alphonse Areola","France",28,81,83,"West Ham United","GK",2.2e+07,69000
"26","Rui Tiago Dantas da Silva","Portugal",27,81,84,"Real Betis Balompié","GK",25500000,24000
"27","Alejandro Remiro Gargallo","Spain",26,81,85,"Real Sociedad","GK",27500000,31000
"28","Juan Musso","Argentina",27,81,82,"Atalanta","GK",2.2e+07,44000
"29","Jordan Pickford","England",27,81,83,"Everton","GK",23500000,70000
"30","Aaron Ramsdale","England",23,81,86,"Arsenal","GK",3.1e+07,58000
"31","José Pedro Malheiro de Sá","Portugal",28,81,82,"Wolverhampton Wanderers","GK",20500000,74000
"32","Norberto Murara Neto","Brazil",31,81,81,"FC Barcelona","GK",13500000,105000
"33","Antonio Adán Garrido","Spain",34,81,81,"Sporting CP","GK",4400000,14000
"34","Gerónimo Rulli","Argentina",29,81,81,"Villarreal CF","GK",17500000,33000
"35","David Soria Solís","Spain",28,81,82,"Getafe CF","GK",20500000,30000
"36","Sergio Asenjo Andrés","Spain",32,80,80,"Villarreal CF","GK",10500000,29000
"37","Guillermo Ochoa","Mexico",35,80,80,"Club América","GK",2300000,27000
"38","Mattia Perin","Italy",28,80,81,"Juventus","GK",16500000,64000
"39","Jasper Cillessen","Netherlands",32,80,80,"Valencia CF","GK",10500000,31000
"40","Héniton Enaldo Pires Tramontino","Brazil",25,80,80,"Flamengo","GK",1.7e+07,33000
"41","Agustín Marchesín","Argentina",33,80,80,"FC Porto","GK",7e+06,13000
"42","Simon Mignolet","Belgium",33,80,80,"Club Brugge KV","GK",7e+06,24000
"43","Dean Henderson","England",24,80,84,"Manchester United","GK",2.4e+07,70000
"44","Andrea Consigli","Italy",34,80,80,"U.S. Sassuolo Calcio","GK",3600000,30000
"45","Marko Dmitrović","Serbia",29,80,81,"Sevilla FC","GK",1.6e+07,26000
"46","Gianluigi Buffon","Italy",43,80,80,"Parma","GK",2300000,3000
"47","Alessio Cragno","Italy",27,80,81,"Cagliari","GK",1.8e+07,30000
"48","Kepa Arrizabalaga","Spain",26,80,83,"Chelsea","GK",2.1e+07,80000
"49","Uğurcan Çakır","Turkey",25,80,85,"Trabzonspor","GK",24500000,24000
"50","Martin Dúbravka","Slovakia",32,79,79,"Newcastle United","GK",8500000,35000
"51","Stefan Ortega","Germany",28,79,80,"DSC Arminia Bielefeld","GK",1.4e+07,24000
"52","Pierluigi Gollini","Italy",26,79,82,"Tottenham Hotspur","GK",17500000,39000
"53","Matheus Lima Magalhães","Brazil",28,79,81,"SC Braga","GK",1.5e+07,15000
"54","Mark Flekken","Netherlands",28,79,80,"Sport-Club Freiburg","GK",1.4e+07,26000
"55","Nahuel Guzmán","Argentina",35,79,79,"Tigres U.A.N.L.","GK",1900000,26000
"56","Salvatore Sirigu","Italy",34,79,79,"Genoa","GK",3e+06,16000
"57","Roman Bürki","Switzerland",30,79,79,"Borussia Dortmund","GK",11500000,43000
"58","Esteban Andrada","Argentina",30,79,79,"CF Monterrey","GK",11500000,41000
