"","name","country","age","overall","potential","club","pos","value","wage"
"1","Leroy Sané","Germany",25,86,87,"FC Bayern München","LM",8.1e+07,120000
"2","Kingsley Coman","France",25,85,86,"FC Bayern München","LM",64500000,110000
"3","Yannick Carrasco","Belgium",27,84,84,"Atlético de Madrid","LM",4.5e+07,81000
"4","Iker Muniain Goñi","Spain",28,84,84,"Athletic Club de Bilbao","LM",42500000,49000
"5","Filip Kostić","Serbia",28,84,84,"Eintracht Frankfurt","LM",42500000,52000
"6","Moussa Diaby","France",21,83,88,"Bayer 04 Leverkusen","LM",5.6e+07,55000
"7","Ivan Perišić","Croatia",32,82,82,"Inter","LM",2.4e+07,115000
"8","Cody Gakpo","Netherlands",22,81,86,"PSV","LM",39500000,22000
"9","Allan Saint-Maximin","France",24,81,84,"Newcastle United","LM",3.5e+07,46000
"10","Thorgan Hazard","Belgium",28,81,81,"Borussia Dortmund","LM",2.6e+07,69000
"11","José Luis Morales Nogales","Spain",33,81,81,"Levante Unión Deportiva","LM",1.6e+07,38000
"12","Darwin Machís","Venezuela",28,80,80,"Granada CF","LM",2.1e+07,31000
"13","Emile Smith Rowe","England",20,80,87,"Arsenal","LM",4.2e+07,65000
"14","Vincenzo Grifo","Italy",28,80,80,"Sport-Club Freiburg","LM",2.1e+07,37000
"15","Harvey Barnes","England",23,80,84,"Leicester City","LM",3e+07,88000
"16","Jamal Musiala","Germany",18,79,89,"FC Bayern München","LM",3.7e+07,26000
"17","Leandro Trossard","Belgium",26,79,79,"Brighton & Hove Albion","LM",1.9e+07,64000
"18","Nikola Vlašić","Croatia",23,79,84,"West Ham United","LM",26500000,63000
"19","Rubén García Santos","Spain",27,79,79,"CA Osasuna","LM",18500000,33000
"20","Federico Bernardeschi","Italy",27,79,79,"Juventus","LM",18500000,77000
"21","Everton Sousa Soares","Brazil",25,79,80,"SL Benfica","LM",2.1e+07,16000
"22","Saïd Benrahma","Algeria",25,78,79,"West Ham United","LM",1.7e+07,63000
"23","Gabriel Teodoro Martinelli Silva","Brazil",20,78,88,"Arsenal","LM",3.1e+07,56000
"24","Javier Puado Díaz","Spain",23,78,84,"RCD Espanyol de Barcelona","LM",2.2e+07,19000
"25","Marcus Thuram","France",23,78,84,"Borussia Mönchengladbach","LM",2.2e+07,27000
"26","Sofiane Diop","France",21,78,86,"AS Monaco","LM",31500000,37000
"27","Karl Toko Ekambi","Cameroon",28,78,78,"Olympique Lyonnais","LM",1.4e+07,62000
"28","Luís Carlos Almeida da Cunha","Portugal",34,78,78,"Venezia FC","LM",6500000,24000
"29","Armindo Tué Na Bangna","Portugal",26,77,77,"PSV","LM",11500000,19000
"30","Murilo Kauê Cadete Teixeira","Brazil",21,77,77,"Palmeiras","LM",12500000,28000
"31","Enis Bardhi","North Macedonia",25,77,78,"Levante Unión Deportiva","LM",12500000,27000
"32","Ademola Lookman","England",23,77,82,"Leicester City","LM",1.6e+07,54000
"33","Robert Kenedy Nunes do Nascimento","Brazil",25,77,78,"Chelsea","LM",12500000,83000
"34","Orbelín Pineda","Mexico",25,77,78,"RC Celta de Vigo","LM",12500000,23000
"35","Bryan Gil Salvatierra","Spain",20,77,87,"Valencia CF","LM",2.3e+07,56000
"36","Demarai Gray","England",25,77,80,"Everton","LM",1.4e+07,68000
"37","Franck Honorat","France",24,77,79,"Stade Brestois 29","LM",13500000,18000
"38","Moses Simon","Nigeria",25,77,78,"FC Nantes","LM",12500000,26000
"39","Eduardo Gabriel Aquino Cossa","Brazil",24,77,80,"FC Porto","LM",14500000,13000
"40","Maxwel Cornet","Côte d'Ivoire",24,77,80,"Burnley","LM",14500000,32000
"41","Jonathan Bamba","France",25,77,78,"LOSC Lille","LM",12500000,34000
"42","Mislav Oršić","Croatia",28,76,76,"Dinamo Zagreb","LM",7500000,1000
"43","Yeferson Soteldo","Venezuela",24,76,80,"Tigres U.A.N.L.","LM",1.1e+07,37000
"44","Esequiel Barco","Argentina",22,76,83,"River Plate","LM",1.5e+07,8000
"45","Mikkel Damsgaard","Denmark",20,76,86,"U.C. Sampdoria","LM",16500000,15000
"46","Matías Vargas","Argentina",24,76,79,"Adana Demirspor","LM",1e+07,17000
"47","Lukáš Haraslín","Slovakia",25,76,79,"AC Sparta Praha","LM",1e+07,1000
"48","Milot Rashica","Kosovo",25,76,78,"Norwich City","LM",9500000,33000
"49","Jeffrey Schlupp","Ghana",28,76,76,"Crystal Palace","LM",7500000,51000
