"","name","country","age","overall","potential","club","pos","value","wage"
"1","José Ángel Esmoris Tasende","Spain",24,83,85,"RB Leipzig","LWB",43500000,77000
"2","Adryan Juliano Zonta Torres","Brazil",29,81,81,"RB Bragantino","LWB",22500000,24000
"3","Marcos Alonso Mendoza","Spain",30,80,80,"Chelsea","LWB",1.8e+07,1e+05
"4","Sergio Reguilón Rodríguez","Spain",24,80,83,"Tottenham Hotspur","LWB",26500000,74000
"5","Jonathan Castro Otto","Spain",27,80,80,"Wolverhampton Wanderers","LWB",20500000,81000
"6","David Raum","Germany",23,79,83,"TSG Hoffenheim","LWB",23500000,32000
"7","Ramy Bensebaini","Algeria",26,78,79,"Borussia Mönchengladbach","LWB",1.5e+07,28000
"8","Federico Dimarco","Italy",23,77,81,"Inter","LWB",1.4e+07,62000
"9","Aleksandar Kolarov","Serbia",35,77,77,"Inter","LWB",3200000,52000
"10","Rayan Aït Nouri","France",20,76,86,"Wolverhampton Wanderers","LWB",15500000,43000
"11","Fernando Marçal de Oliveira","Brazil",32,76,76,"Wolverhampton Wanderers","LWB",5e+06,60000
"12","Jens Stryger Larsen","Denmark",30,76,76,"Udinese Calcio","LWB",6500000,16000
"13","Ryan Sessegnon","England",21,75,83,"Tottenham Hotspur","LWB",1.2e+07,44000
"14","Aarón Martín Caricol","Spain",24,75,78,"1. FSV Mainz 05","LWB",7e+06,18000
"15","Rico Henry","England",23,75,80,"Brentford","LWB",8e+06,33000
"16","Maximilian Wittek","Germany",25,75,77,"Vitesse","LWB",6500000,15000
"17","Anthony Caci","France",24,75,81,"RC Strasbourg Alsace","LWB",8500000,18000
"18","Przemysław Frankowski","Poland",26,75,76,"Racing Club de Lens","LWB",6e+06,24000
"19","Solly March","England",26,75,76,"Brighton & Hove Albion","LWB",6e+06,44000
"20","Matt Ritchie","Scotland",31,74,74,"Newcastle United","LWB",3100000,30000
"21","Thomas Ouwejan","Netherlands",24,74,77,"FC Schalke 04","LWB",5500000,8000
"22","Rúben Nascimento Vinagre","Portugal",22,74,82,"Sporting CP","LWB",9e+06,46000
"23","Joris Kayembe","Belgium",26,74,75,"Royal Charleroi S.C.","LWB",4500000,13000
"24","Dimitri Liénard","France",33,74,74,"RC Strasbourg Alsace","LWB",2200000,19000
"25","Ola Aina","Nigeria",24,74,76,"Torino F.C.","LWB",5e+06,27000
"26","Christopher Lenz","Germany",26,74,75,"Eintracht Frankfurt","LWB",4500000,22000
"27","Aaron Hickey","Scotland",19,73,85,"Bologna","LWB",7e+06,12000
"28","Petar Bočkaj","Croatia",24,73,76,"Dinamo Zagreb","LWB",3800000,600
"29","Yanis Hamache","France",21,73,80,"Boavista FC","LWB",6e+06,9000
"30","Massadio Haïdara","Mali",28,73,73,"Racing Club de Lens","LWB",2800000,22000
"31","Souleyman Doumbia","Côte d'Ivoire",24,73,78,"Angers SCO","LWB",4300000,15000
"32","Anthony Jung","Germany",29,72,72,"SV Werder Bremen","LWB",2100000,9000
"33","Ryan Manning","Republic of Ireland",25,72,75,"Swansea City","LWB",2900000,18000
"34","Harry Toffolo","England",25,72,75,"Huddersfield Town","LWB",2900000,7000
"35","Luca Netz","Germany",18,72,85,"Borussia Mönchengladbach","LWB",5e+06,5000
"36","Liberato Cacace","New Zealand",20,72,82,"Empoli","LWB",4900000,8000
"37","Enda Stevens","Republic of Ireland",30,72,72,"Sheffield United","LWB",2e+06,19000
"38","Max Lowe","England",24,72,79,"Nottingham Forest","LWB",4500000,16000
"39","Niko Gießelmann","Germany",29,72,72,"1. FC Union Berlin","LWB",2100000,20000
"40","Anderson Lucoqui","Angola",23,71,75,"1. FSV Mainz 05","LWB",2500000,12000
"41","Ryan Giles","England",21,71,78,"Blackburn Rovers","LWB",3600000,27000
"42","Deiver Machado","Colombia",27,71,71,"Racing Club de Lens","LWB",1800000,16000
"43","Callum Styles","Hungary",21,70,78,"Barnsley","LWB",3400000,15000
"44","Adrián Guerrero Aguilar","Spain",23,70,77,"FC Zürich","LWB",3e+06,8000
"45","Sam McCallum","England",20,70,80,"Queens Park Rangers","LWB",3300000,12000
"46","Harry Pickering","England",22,69,75,"Blackburn Rovers","LWB",2100000,15000
"47","Andrea Cambiaso","Italy",21,69,80,"Genoa","LWB",3e+06,6000
