"","name","country","age","overall","potential","club","pos","value","wage"
"1","Trent Alexander-Arnold","England",22,87,90,"Liverpool","RB",102500000,150000
"2","Kyle Walker","England",31,85,85,"Manchester City","RB",3.9e+07,170000
"3","Jesús Navas González","Spain",35,84,84,"Sevilla FC","RB",1.3e+07,30000
"4","Daniel Carvajal Ramos","Spain",29,84,84,"Real Madrid CF","RB",3.7e+07,195000
"5","Kieran Trippier","England",30,84,84,"Newcastle United","RB",36500000,63000
"6","Ricardo Barbosa Pereira","Portugal",27,83,83,"Leicester City","RB",3.5e+07,115000
"7","Juan Cuadrado","Colombia",33,83,83,"Juventus","RB",1.9e+07,95000
"8","Noussair Mazraoui","Morocco",23,82,86,"Ajax","RB",40500000,20000
"9","Mário Figueira Fernandes","Russia",30,81,81,"PFC CSKA Moscow","RB",2.2e+07,53000
"10","Aaron Wan-Bissaka","England",23,81,84,"Manchester United","RB",32500000,95000
"11","Giovanni Di Lorenzo","Italy",27,81,81,"Napoli","RB",2.5e+07,68000
"12","Lucas Vázquez Iglesias","Spain",30,81,81,"Real Madrid CF","RB",2.2e+07,140000
"13","Sergio Roberto Carnicer","Spain",29,80,80,"FC Barcelona","RB",18500000,130000
"14","Nordi Mukiele","France",23,80,84,"RB Leipzig","RB",2.8e+07,61000
"15","Ander Capa Rodríguez","Spain",29,80,80,"Athletic Club de Bilbao","RB",18500000,32000
"16","Danilo Luiz da Silva","Brazil",29,80,80,"Juventus","RB",18500000,78000
"17","Vladimír Coufal","Czech Republic",28,80,80,"West Ham United","RB",1.9e+07,73000
"18","Maikel Renan Catarino Fagundes","Brazil",25,80,80,"Sport Club Corinthians Paulista","RB",2.1e+07,33000
"19","Šime Vrsaljko","Croatia",29,80,80,"Atlético de Madrid","RB",18500000,56000
"20","Benjamin Pavard","France",25,79,82,"FC Bayern München","RB",21500000,64000
"21","Manuel Lazzari","Italy",27,79,79,"Lazio","RB",1.7e+07,56000
"22","Mario Gaspar Pérez Martínez","Spain",30,79,79,"Villarreal CF","RB",1.5e+07,34000
"23","Adam Marušic","Montenegro",28,79,79,"Lazio","RB",1.6e+07,59000
"24","Alessandro Florenzi","Italy",30,79,79,"AC Milan","RB",1.5e+07,51000
"25","Davide Calabria","Italy",24,79,80,"AC Milan","RB",2e+07,35000
"26","Serge Aurier","Côte d'Ivoire",28,79,79,"Villarreal CF","RB",1.6e+07,35000
"27","Gonzalo Montiel","Argentina",24,79,82,"Sevilla FC","RB",2.2e+07,25000
"28","Rubén Peña Jiménez","Spain",29,79,79,"Villarreal CF","RB",15500000,35000
