"","name","country","age","overall","potential","club","pos","value","wage"
"1","Serge Gnabry","Germany",25,85,85,"FC Bayern München","RM",6e+07,110000
"2","Raphael Dias Belloli","Brazil",24,83,86,"Leeds United","RM",49500000,95000
"3","Domenico Berardi","Italy",26,83,83,"U.S. Sassuolo Calcio","RM",39500000,52000
"4","Sergio Canales Madrazo","Spain",30,83,83,"Real Betis Balompié","RM",3.5e+07,38000
"5","Bukayo Saka","England",19,82,89,"Arsenal","RM",59500000,58000
"6","Otávio Edmilson da Silva Monteiro","Portugal",26,82,82,"FC Porto","RM",33500000,21000
"7","Rafael A. Ferreira Silva","Portugal",28,82,82,"SL Benfica","RM",30500000,22000
"8","Jesús Corona","Mexico",28,81,81,"Sevilla FC","RM",2.6e+07,37000
"9","Joaquín Sánchez Rodríguez","Spain",39,81,81,"Real Betis Balompié","RM",8500000,23000
"10","Leon Bailey","Jamaica",23,81,84,"Aston Villa","RM",3.5e+07,70000
"11","Viktor Tsygankov","Ukraine",23,80,85,"Dynamo Kyiv","RM",3.2e+07,1000
"12","Ridle Baku","Germany",23,80,85,"VfL Wolfsburg","RM",3.2e+07,59000
"13","Alejandro Berenguer Remiro","Spain",25,80,81,"Athletic Club de Bilbao","RM",2.5e+07,32000
"14","Nicolas Pépé","Côte d'Ivoire",26,80,81,"Arsenal","RM",2.5e+07,88000
"15","Jorge de Frutos Sebastián","Spain",24,79,82,"Levante Unión Deportiva","RM",2.4e+07,29000
"16","Jarrod Bowen","England",24,79,82,"West Ham United","RM",2.4e+07,63000
"17","Emiliano Buendía","Argentina",24,79,82,"Aston Villa","RM",2.4e+07,61000
"18","Mason Greenwood","England",19,79,90,"Manchester United","RM",3.8e+07,62000
"19","Karim Bellarabi","Germany",31,79,79,"Bayer 04 Leverkusen","RM",14500000,55000
"20","Florian Thauvin","France",28,79,79,"Tigres U.A.N.L.","RM",17500000,56000
"21","Antonio Candreva","Italy",34,79,79,"U.C. Sampdoria","RM",8e+06,25000
"22","Jonathan Ikoné","France",23,78,82,"Fiorentina","RM",2e+07,46000
"23","G. Pierre Paiva Souza","Brazil",25,78,78,"Flamengo","RM",15500000,38000
"24","Miguel Almirón","Paraguay",27,78,78,"Newcastle United","RM",1.5e+07,43000
"25","Willian Borges da Silva","Brazil",31,78,78,"Arsenal","RM",11500000,76000
"26","Victor Moses","Nigeria",30,78,78,"Spartak Moskva","RM",13500000,56000
"27","Romain Faivre","France",22,78,84,"Olympique Lyonnais","RM",22500000,52000
"28","Adrián Embarba Blázquez","Spain",29,77,77,"RCD Espanyol de Barcelona","RM",10500000,21000
"29","Noni Madueke","England",19,77,88,"PSV","RM",2.3e+07,11000
"30","Luiz Araújo","Brazil",25,77,80,"Atlanta United","RM",1.4e+07,10000
"31","Marius Wolf","Germany",26,77,78,"Borussia Dortmund","RM",12500000,50000
"32","Ryan Fraser","Scotland",27,77,77,"Newcastle United","RM",1.1e+07,40000
"33","Samuel Chukwueze","Nigeria",22,77,84,"Villarreal CF","RM",21500000,27000
"34","Ritsu Doan","Japan",23,77,83,"PSV","RM",16500000,17000
"35","Ismaïla Sarr","Senegal",23,77,83,"Watford","RM",16500000,45000
"36","Bertrand Traoré","Burkina Faso",25,77,78,"Aston Villa","RM",12500000,57000
"37","Rubén Rochina Naixes","Spain",30,77,77,"Granada CF","RM",1e+07,24000
"38","Stuart Armstrong","Scotland",29,77,77,"Southampton","RM",10500000,54000
"39","Andros Townsend","England",29,77,77,"Everton","RM",10500000,74000
"40","Gelson Dany Batalha Martins","Portugal",26,77,78,"AS Monaco","RM",12500000,47000
"41","Xherdan Shaqiri","Switzerland",29,77,77,"Chicago Fire Football Club","RM",10500000,10000
"42","Alejandro Silva","Uruguay",31,76,76,"Club Olimpia","RM",6e+06,1000
"43","Yeremi Jesús Santos Pino","Spain",18,76,87,"Villarreal CF","RM",1.6e+07,10000
"44","Brais Méndez Portela","Spain",24,76,79,"RC Celta de Vigo","RM",1e+07,20000
"45","Gonzalo Plata","Ecuador",20,76,86,"Real Valladolid CF","RM",16500000,10000
"46","Harry Wilson","Wales",24,76,79,"Fulham","RM",1e+07,45000
"47","Salvador Sánchez Ponce","Spain",30,76,76,"Cádiz CF","RM",7e+06,28000
"48","Alex Iwobi","Nigeria",25,76,77,"Everton","RM",9e+06,63000
"49","Valentino Lazaro","Austria",25,76,77,"SL Benfica","RM",9e+06,71000
"50","Mateus Tetê","Brazil",21,76,86,"Olympique Lyonnais","RM",1.7e+07,800
"51","Nahitan Nández","Uruguay",25,76,77,"Cagliari","RM",9e+06,29000
"52","Marc Albrighton","England",31,76,76,"Leicester City","RM",6e+06,76000
"53","Jakub Pešek","Czech Republic",28,76,76,"AC Sparta Praha","RM",7500000,1000
"54","Rubens Sambueza","Argentina",37,76,76,"Club Atlético de San Luis","RM",2400000,13000
"55","Pedro León Sánchez Gil","Spain",34,76,76,"CF Fuenlabrada","RM",3500000,9000
"56","Isaac Palazón Camacho","Spain",26,76,76,"Rayo Vallecano","RM",8e+06,20000
"57","Carlos Alberto Carvalho Silva Jr.","Brazil",25,75,76,"Al Shabab","RM",6500000,30000
"58","Mama Samba Baldé","Guinea Bissau",25,75,76,"ESTAC Troyes","RM",6500000,18000
"59","Marco Richter","Germany",23,75,79,"Hertha BSC","RM",8e+06,33000
"60","Pedro Victor Delmino da Silva","Brazil",23,75,81,"Shakhtar Donetsk","RM",9e+06,900
"61","Diogo António Cupido Gonçalves","Portugal",24,75,78,"SL Benfica","RM",7500000,11000
"62","Iván Alejo Peralta","Spain",26,75,75,"Cádiz CF","RM",6e+06,27000
"63","Lukáš Masopust","Czech Republic",28,75,75,"SK Slavia Praha","RM",5500000,1000
"64","Daniel Caligiuri","Italy",33,75,75,"FC Augsburg","RM",3500000,23000
"65","Francisco Pizzini","Argentina",27,75,75,"Defensa y Justicia","RM",6e+06,15000
"66","Robert Skov","Denmark",25,75,78,"TSG Hoffenheim","RM",7500000,29000
"67","Hicham Boudaoui","Algeria",21,75,82,"OGC Nice","RM",11500000,21000
"68","Roland Sallai","Hungary",24,75,78,"Sport-Club Freiburg","RM",7500000,22000
"69","Krépin Diatta","Senegal",22,75,82,"AS Monaco","RM",11500000,36000
"70","Takefusa Kubo","Japan",20,75,88,"RCD Mallorca","RM",13500000,77000
"71","Martín Ojeda","Argentina",22,75,81,"Godoy Cruz","RM",9e+06,10000
"72","Pablo Piatti","Argentina",32,75,75,"Elche CF","RM",4500000,19000
"73","Patrick Wimmer","Austria",20,75,85,"DSC Arminia Bielefeld","RM",12500000,17000
"74","Murilo de Souza Costa","Brazil",26,75,75,"Gil Vicente FC","RM",6e+06,11000
"75","Silas Katompa Mvumpa","Congo DR",22,75,82,"VfB Stuttgart","RM",11500000,22000
"76","Guilherme Costa Marques","Brazil",30,74,74,"Guangzhou City","RM",4100000,15000
"77","Enrique Barja Afonso","Spain",24,74,77,"CA Osasuna","RM",6e+06,20000
"78","Leonardo Suárez","Argentina",25,74,75,"Santos Laguna","RM",5e+06,19000
"79","Diego Valoyes","Colombia",24,74,77,"Club Atlético Talleres","RM",6e+06,12000
"80","Santiago Simón","Argentina",19,74,85,"River Plate","RM",9e+06,9000
"81","Dodi Lukébakio","Belgium",23,74,78,"VfL Wolfsburg","RM",6e+06,31000
"82","Dejan Ljubicic","Austria",23,74,79,"1. FC Köln","RM",6500000,21000
"83","Chris Führich","Germany",23,74,78,"VfB Stuttgart","RM",6e+06,21000
"84","Renato Ibarra","Ecuador",30,74,74,"Club Tijuana","RM",4100000,37000
"85","Diego Lainez","Mexico",21,74,83,"Real Betis Balompié","RM",9500000,15000
"86","Aaron Lennon","England",34,74,74,"Burnley","RM",2e+06,30000
"87","Bobby Decordova-Reid","Jamaica",28,74,74,"Fulham","RM",4200000,47000
"88","Sofiane Feghouli","Algeria",31,74,74,"Galatasaray SK","RM",3500000,44000
"89","Dorlan Pabón","Colombia",33,74,74,"Atlético Nacional","RM",2600000,3000
"90","Óscar Plano Pedreño","Spain",30,74,74,"Real Valladolid CF","RM",4100000,11000
"91","Ivan Schranz","Slovakia",27,74,74,"SK Slavia Praha","RM",4500000,950
"92","Héctor Villalba","Paraguay",26,74,74,"Club Libertad","RM",4600000,1000
"93","Facundo Torres","Uruguay",21,74,82,"Orlando City Soccer Club","RM",9500000,6000
"94","Timothy Weah","United States",21,74,81,"LOSC Lille","RM",8500000,21000
"95","Efecan Karaca","Turkey",31,74,74,"Aytemiz Alanyaspor","RM",3500000,14000
"96","Juan Ferney Otero","Colombia",26,73,74,"Club América","RM",3600000,34000
"97","Alessio Castro-Montes","Belgium",24,73,77,"KAA Gent","RM",4400000,16000
"98","Yunus Musah","United States",18,73,83,"Valencia CF","RM",6500000,9000
"99","Calvin Stengs","Netherlands",22,73,80,"OGC Nice","RM",6e+06,21000
"100","Antonio Sánchez Navarro","Spain",24,73,76,"RCD Mallorca","RM",4200000,18000
"101","Armand Laurienté","France",22,73,80,"FC Lorient","RM",6e+06,14000
"102","Uriel Antuna","Mexico",23,73,76,"Cruz Azul","RM",4200000,39000
"103","Yari Verschaeren","Belgium",19,73,83,"RSC Anderlecht","RM",6500000,10000
"104","Serdar Gürler","Turkey",29,73,73,"Istanbul Basaksehir FK","RM",3e+06,29000
"105","Patrick Herrmann","Germany",30,73,73,"Borussia Mönchengladbach","RM",2900000,22000
"106","Rayan Cherki","France",17,73,88,"Olympique Lyonnais","RM",7e+06,6000
"107","Yorbe Vertessen","Belgium",20,73,82,"PSV","RM",6500000,11000
"108","Augusto Solari","Argentina",29,73,73,"RC Celta de Vigo","RM",3e+06,19000
"109","Hernâni Jorge Santos Fortes","Portugal",29,73,73,"Unión Deportiva Las Palmas","RM",3e+06,9000
"110","Agustín Canobbio","Uruguay",22,73,78,"Club Atlético Peñarol","RM",4700000,900
"111","Edon Zhegrova","Kosovo",22,73,81,"LOSC Lille","RM",7e+06,23000
"112","Eduard Bello","Venezuela",25,73,74,"Mazatlán Futbol Club","RM",3600000,11000
"113","Yassine Benrahou","Morocco",22,73,81,"Nîmes Olympique","RM",7e+06,6000
"114","Jóhann Berg Guðmundsson","Iceland",30,73,73,"Burnley","RM",2900000,28000
"115","Andreas Skov Olsen","Denmark",21,73,80,"Club Brugge KV","RM",6e+06,15000
"116","Julian Gressel","Germany",27,73,73,"D.C. United","RM",3200000,8000
"117","Tiago Manuel Dias Correia","Cape Verde Islands",30,73,73,"Rayo Vallecano","RM",2900000,16000
"118","Arnaud Nordin","France",23,73,78,"AS Saint-Étienne","RM",4600000,21000
"119","Theo Walcott","England",32,73,73,"Southampton","RM",2400000,39000
"120","Timmy Chandler","United States",31,73,73,"Eintracht Frankfurt","RM",2500000,22000
"121","Gil Bastião Dias","Portugal",24,73,76,"SL Benfica","RM",4200000,10000
"122","Michael Barrios","Colombia",30,73,73,"Colorado Rapids","RM",2900000,8000
"123","Paul Arriola","United States",26,72,72,"FC Dallas","RM",2600000,7000
"124","Takuma Asano","Japan",26,72,72,"VfL Bochum 1848","RM",2600000,18000
"125","Adriel Ba Loua","Côte d'Ivoire",24,72,74,"Lech Poznan","RM",3e+06,7000
"126","Lucas Da Cunha","France",20,72,78,"Clermont Foot 63","RM",3600000,16000
"127","Levin Öztunali","Germany",25,72,73,"1. FC Union Berlin","RM",2800000,20000
"128","Martin Boyle","Australia",28,72,72,"Al Faisaly","RM",2400000,13000
"129","Tajon Buchanan","Canada",22,72,78,"Club Brugge KV","RM",3800000,15000
"130","Ahmed Musa","Nigeria",28,72,72,"Fatih Karagümrük S.K.","RM",2400000,12000
"131","Sada Thioub","Senegal",26,72,73,"AS Saint-Étienne","RM",2800000,17000
"132","Rodrigo Sánchez Rodríguez","Spain",21,72,83,"Real Betis Balompié","RM",5500000,12000
"133","Isaac Brizuela","Mexico",30,72,72,"Club Deportivo Guadalajara","RM",2300000,31000
"134","Francisco F. da Conceição","Portugal",18,72,86,"FC Porto","RM",5500000,3000
"135","Manuel Castro","Uruguay",25,72,73,"Estudiantes de La Plata","RM",2800000,10000
"136","Abdallah Sima","Senegal",20,72,84,"Stoke City","RM",5500000,27000
"137","Javairô Dilrosun","Netherlands",23,72,77,"FC Girondins de Bordeaux","RM",3500000,25000
"138","Fabio Depaoli","Italy",24,72,75,"Hellas Verona","RM",3200000,12000
"139","Lewis Morgan","Scotland",24,72,75,"New York Red Bulls","RM",3200000,6000
"140","Alassane Ndao","Senegal",24,72,75,"Antalyaspor","RM",3200000,23000
"141","Emre Mor","Turkey",23,72,77,"Fatih Karagümrük S.K.","RM",3500000,14000
"142","Chung Yong Lee","Korea Republic",32,71,71,"Ulsan Hyundai FC","RM",1500000,8000
"143","Anthony Elanga","Sweden",19,71,85,"Manchester United","RM",4400000,31000
"144","Koji Miyoshi","Japan",24,71,74,"Royal Antwerp FC","RM",2600000,12000
"145","Alberto Soro Álvarez","Spain",22,71,80,"Granada CF","RM",4200000,13000
"146","Nicholas Williams Arthuer","Spain",18,71,86,"Athletic Club de Bilbao","RM",4400000,6000
"147","Eirik Hestad","Norway",26,71,72,"Molde FK","RM",2200000,5000
"148","Ansgar Knauff","Germany",19,71,82,"Eintracht Frankfurt","RM",4e+06,17000
"149","Pablo Hervías Ruiz","Spain",28,71,71,"Real Valladolid CF","RM",1900000,8000
"150","Marcus Coco","France",25,71,73,"FC Nantes","RM",2400000,15000
"151","Danny Blum","Germany",30,71,71,"VfL Bochum 1848","RM",1800000,15000
"152","Francis Amuzu","Belgium",21,71,78,"RSC Anderlecht","RM",3800000,11000
"153","Jordi Mboula Queralt","Spain",22,71,80,"Estoril Praia","RM",4200000,14000
"154","Juan Álvarez","Argentina",25,71,72,"Club Atlético Banfield","RM",2200000,10000
"155","Aitor García Flores","Spain",27,71,71,"Real Sporting de Gijón","RM",2e+06,7000
"156","José Elber Pimentel da Silva","Brazil",29,71,71,"Yokohama F. Marinos","RM",1800000,9000
"157","Paulino de la Fuente Gómez","Spain",24,71,77,"Málaga CF","RM",3e+06,6000
"158","Alejandro Zendejas","Mexico",23,70,76,"Club América","RM",2500000,20000
"159","Noah Joel Sarenren Bazee","Nigeria",24,70,73,"FC Augsburg","RM",2200000,12000
"160","Tanguy Coulibaly","France",20,70,80,"VfB Stuttgart","RM",3500000,11000
"161","Tatsuhiro Sakamoto","Japan",24,70,73,"KV Oostende","RM",2200000,5000
"162","Facundo Pellistri","Uruguay",19,70,86,"Deportivo Alavés","RM",4100000,27000
"163","Lisandro Pedro Varela Semedo","Cape Verde Islands",25,70,71,"Fortuna Sittard","RM",1900000,7000
"164","Fran Tudor","Croatia",25,70,71,"Raków Czestochowa","RM",1900000,6000
"165","Ezequiel Cerutti","Argentina",29,70,70,"San Lorenzo de Almagro","RM",1600000,9000
"166","Chang Hoon Kwon","Korea Republic",27,70,70,"Suwon Samsung Bluewings","RM",1700000,4000
"167","Deian Sorescu","Romania",23,70,75,"Raków Czestochowa","RM",2400000,5000
"168","Dumisani Zuma","South Africa",26,70,70,"Kaizer Chiefs","RM",1700000,600
"169","Jairo Samperio Bustara","Spain",27,70,70,"Málaga CF","RM",1700000,6000
"170","Tom Barkhuizen","England",27,70,70,"Preston North End","RM",1700000,19000
"171","Diego Fagundez","Uruguay",26,70,70,"Austin FC","RM",1700000,5000
"172","Giorgi Tsitaishvili","Georgia",20,70,82,"Wisla Kraków","RM",3800000,500
"173","Iván Martín Núñez","Spain",22,70,79,"Girona FC","RM",3600000,14000
"174","Gabriel Costa","Peru",31,70,70,"Colo-Colo","RM",1300000,5000
"175","Josh Bowler","England",22,70,75,"Blackpool","RM",2400000,7000
"176","Pablo Barrera","Mexico",34,70,70,"Gallos Blancos de Querétaro","RM",750000,7000
"177","Felix Klaus","Germany",28,70,70,"Fortuna Düsseldorf","RM",1600000,14000
"178","Gerard Valentín Sancho","Spain",27,70,70,"SD Huesca","RM",1700000,7000
"179","Guilherme Ferreira Pinto","Brazil",29,69,69,"Incheon United FC","RM",1400000,3000
"180","Yan Bueno Couto","Brazil",19,69,84,"SC Braga","RM",3300000,24000
"181","Mallik Wilks","England",22,69,77,"Hull City","RM",3100000,6000
"182","Tosin Kehinde","Nigeria",23,69,74,"Randers FC","RM",2100000,6000
"183","Petar Pušic","Switzerland",22,69,77,"Grasshopper Club Zürich","RM",3100000,6000
"184","Dan Ndoye","Switzerland",20,69,78,"FC Basel 1893","RM",3100000,6000
"185","Isaac Lihadji","France",19,69,79,"LOSC Lille","RM",3e+06,9000
"186","Osman Bukari","Ghana",22,69,73,"FC Nantes","RM",2e+06,9000
"187","Pedro Miguel Lopes Pereira","Portugal",23,69,75,"AC Monza","RM",2200000,2000
"188","Edwuin Cetré","Colombia",23,69,75,"Junior FC","RM",2200000,2000
"189","Felix Passlack","Germany",23,69,73,"Borussia Dortmund","RM",2e+06,19000
"190","Roberto Massimo","Germany",20,69,78,"VfB Stuttgart","RM",3100000,9000
"191","Mehdi Zerkane","Algeria",21,69,75,"FC Girondins de Bordeaux","RM",2200000,9000
"192","Yannis Salibur","France",30,69,69,"Fatih Karagümrük S.K.","RM",1300000,7000
"193","Luvannor de Sousa Silva","Moldova",31,69,69,"Al Taawoun","RM",1200000,12000
"194","Roberto González Bayón","Spain",20,69,81,"Unión Deportiva Las Palmas","RM",3400000,8000
"195","Naoufel Zerhouni","Morocco",25,69,70,"Al Hazem","RM",1700000,10000
"196","Renzo Tesuri","Argentina",25,69,72,"Atlético Tucumán","RM",1800000,6000
"197","Giovanni Sio","Côte d'Ivoire",32,69,69,"FC Sion","RM",1100000,12000
"198","Largie Ramazani","Belgium",20,69,83,"Unión Deportiva Almería","RM",3400000,4000
"199","Musa Al-Tamari","Jordan",24,69,75,"Oud-Heverlee Leuven","RM",2200000,7000
"200","Ibrahima Ndiaye","Senegal",22,69,78,"FC Luzern","RM",3100000,7000
"201","Kingsley Schindler","Ghana",27,69,69,"1. FC Köln","RM",1500000,13000
"202","Miloš Pantovic","Serbia",24,69,72,"VfL Bochum 1848","RM",1900000,10000
"203","Jules Iloki","France",29,69,69,"Tianjin Jinmen Tiger FC","RM",1400000,8000
"204","Alen Halilovic","Croatia",25,69,72,"Reading","RM",1800000,13000
"205","Matisse Samoise","Belgium",19,69,78,"KAA Gent","RM",3e+06,6000
"206","Pawel Wszolek","Poland",29,69,69,"Legia Warszawa","RM",1400000,14000
"207","Miguel Baeza Pérez","Spain",21,69,80,"SD Ponferradina","RM",3100000,8000
"208","Gökdeniz Bayrakdar","Turkey",19,69,80,"Antalyaspor","RM",3e+06,5000
"209","Yunus Akgün","Turkey",20,68,75,"Adana Demirspor","RM",2400000,15000
"210","Jesse Sekidika","Nigeria",24,68,71,"Oud-Heverlee Leuven","RM",1600000,17000
"211","Tom Ince","England",29,68,68,"Reading","RM",1200000,12000
"212","Marlos Moreno","Colombia",24,68,71,"KV Kortrijk","RM",1600000,6000
"213","Nathan Ngoumou","France",21,68,79,"Toulouse Football Club","RM",2700000,3000
"214","Mauro Da Luz","Uruguay",26,68,68,"9 de Octubre","RM",1300000,500
"215","Oslimg Mora","Peru",22,68,71,"Club Alianza Lima","RM",1700000,500
"216","Robert Hernández","Venezuela",27,68,68,"Deportivo Táchira FC","RM",1300000,500
"217","Patryk Szysz","Poland",23,68,73,"Zaglebie Lubin","RM",1800000,4000
"218","Sven Mijnans","Netherlands",21,68,79,"Sparta Rotterdam","RM",2700000,3000
"219","Crysencio Summerville","Netherlands",19,68,81,"Leeds United","RM",2900000,15000
"220","Benjamín Garré","Argentina",20,68,79,"Racing Club","RM",2600000,6000
