"","name","country","age","overall","potential","club","pos","value","wage"
"1","Lionel Messi","Argentina",34,92,92,"Paris Saint-Germain","RW",69500000,290000
"2","Mohamed Salah","Egypt",29,91,91,"Liverpool","RW",1.29e+08,350000
"3","Riyad Mahrez","Algeria",30,86,86,"Manchester City","RW",65500000,220000
"4","Ángel Di María","Argentina",33,85,85,"Paris Saint-Germain","RW",33500000,135000
"5","Federico Chiesa","Italy",23,84,90,"Juventus","RW",66500000,81000
"6","Gabriel Fernando de Jesus","Brazil",24,83,86,"Manchester City","RW",49500000,150000
"7","Marco Asensio Willemsen","Spain",25,83,84,"Real Madrid CF","RW",43500000,190000
"8","Ousmane Dembélé","France",24,83,88,"FC Barcelona","RW",5.5e+07,165000
"9","Hakim Ziyech","Morocco",28,83,83,"Chelsea","RW",36500000,155000
"10","Ferran Torres García","Spain",21,83,89,"FC Barcelona","RW",58500000,140000
"11","Antony Matheus dos Santos","Brazil",21,82,89,"Ajax","RW",6.2e+07,21000
"12","Pablo Sarabia García","Spain",29,81,81,"Sporting CP","RW",25500000,1e+05
"13","Pedro António Pereira Gonçalves","Portugal",23,81,88,"Sporting CP","RW",51500000,19000
"14","Carlos Vela","Mexico",32,81,81,"Los Angeles FC","RW",20500000,14000
"15","James Rodríguez","Colombia",29,81,81,"Everton","RW",25500000,105000
"16","Gareth Bale","Wales",31,81,81,"Real Madrid CF","RW",21500000,170000
"17","Matteo Politano","Italy",27,81,81,"Napoli","RW",27500000,81000
"18","Lucas Rodrigues M. Silva","Brazil",28,81,81,"Tottenham Hotspur","RW",2.6e+07,115000
"19","Hirving Lozano","Mexico",25,81,82,"Napoli","RW",3.1e+07,77000
"20","Adnan Januzaj","Belgium",26,81,81,"Real Sociedad","RW",2.8e+07,45000
"21","Rodrygo Silva de Goes","Brazil",20,80,87,"Real Madrid CF","RW",4.2e+07,120000
"22","Cristian Portugues Manzanera","Spain",29,80,80,"Real Sociedad","RW",20500000,44000
"23","Dejan Kulusevski","Sweden",21,80,86,"Tottenham Hotspur","RW",3.4e+07,67000
"24","Benjamin Bourigeaud","France",27,79,79,"Stade Rennais FC","RW",18500000,56000
"25","Adama Traoré Diarra","Spain",25,79,80,"FC Barcelona","RW",2.1e+07,87000
"26","Felipe Anderson Pereira Gomes","Brazil",28,79,79,"Lazio","RW",17500000,70000
"27","Cengiz Ünder","Turkey",23,79,82,"Olympique de Marseille","RW",2.4e+07,54000
"28","Eduardo Salvio","Argentina",30,78,78,"Boca Juniors","RW",13500000,21000
"29","Junior Messias","Brazil",30,78,78,"AC Milan","RW",13500000,6000
"30","Erik Lamela","Argentina",29,78,78,"Sevilla FC","RW",1.4e+07,32000
"31","André Carrillo","Peru",30,78,78,"Al Hilal","RW",13500000,45000
"32","Rachid Ghezzal","Algeria",29,78,78,"Besiktas JK","RW",1.4e+07,51000
"33","Andrija Živkovic","Serbia",24,77,79,"PAOK","RW",13500000,1000
"34","Marcus Edwards","England",22,77,83,"Sporting CP","RW",1.7e+07,14000
"35","Junya Ito","Japan",28,77,77,"KRC Genk","RW",10500000,21000
"36","José María Callejón Bueno","Spain",34,77,77,"Fiorentina","RW",4900000,53000
"37","Alexis Saelemaekers","Belgium",22,77,81,"AC Milan","RW",15500000,36000
"38","Ayoze Pérez Gutiérrez","Spain",27,77,77,"Leicester City","RW",1.1e+07,89000
"39","Maximiliano Meza","Argentina",28,77,77,"CF Monterrey","RW",10500000,53000
"40","Ricardo Andrade Quaresma Bernardo","Portugal",37,76,76,"Vitória de Guimarães","RW",2400000,10000
"41","David Brooks","Wales",23,76,82,"AFC Bournemouth","RW",1.2e+07,33000
"42","Levi García","Trinidad and Tobago",23,76,80,"AEK Athens","RW",1.1e+07,1000
"43","Nordin Amrabat","Morocco",34,76,76,"AEK Athens","RW",3500000,1000
"44","Francisco Mota Castro Trincão","Portugal",21,76,83,"Wolverhampton Wanderers","RW",1.5e+07,84000
"45","Sebastián Palacios","Argentina",29,76,76,"Panathinaikos FC","RW",7500000,1000
"46","Bruno Vinícius Souza Ramos","Brazil",24,75,78,"Sporting CP","RW",7500000,12000
"47","Jérémy Doku","Belgium",19,75,85,"Stade Rennais FC","RW",1.2e+07,25000
"48","Jordan Ayew","Ghana",29,75,75,"Crystal Palace","RW",5500000,52000
"49","Samuel Castillejo Azuaga","Spain",26,75,75,"AC Milan","RW",6e+06,36000
"50","Carles Pérez Sayol","Spain",23,75,78,"Roma","RW",7500000,41000
"51","Bryan Mbeumo","France",21,75,81,"Brentford","RW",9e+06,35000
"52","Marcos Paulo Mesquita Lopes","Portugal",25,75,76,"Olympiacos CFP","RW",6500000,1000
"53","Pedro De la Vega","Argentina",20,74,85,"Club Atlético Lanús","RW",9500000,13000
"54","José Pedro Fuenzalida","Chile",36,74,74,"Universidad Católica","RW",1400000,10000
"55","Ilan Kebbal","Algeria",22,74,80,"Stade de Reims","RW",7e+06,21000
"56","Damian Batallini","Argentina",25,74,77,"Club Atlético Independiente","RW",5500000,13000
"57","Brian Ocampo","Uruguay",22,74,83,"Club Nacional de Football","RW",9500000,1000
"58","Daniele Verde","Italy",25,74,77,"Spezia","RW",5500000,17000
"59","Gyrano Kerk","Netherlands",25,74,75,"FC Lokomotiv Moscow","RW",5e+06,40000
"60","Ianis Hagi","Romania",22,74,80,"Rangers FC","RW",7e+06,41000
"61","Ryan Christie","Scotland",26,74,74,"AFC Bournemouth","RW",4600000,33000
"62","Abdoulay Diaby","Mali",29,73,73,"Sporting CP","RW",3e+06,13000
"63","Reiss Nelson","England",21,73,80,"Feyenoord","RW",6e+06,44000
"64","Luca Orellano","Argentina",21,73,81,"Vélez Sarsfield","RW",7e+06,11000
"65","Benson Manuel","Belgium",24,73,76,"Royal Antwerp FC","RW",4200000,17000
"66","Adam Ounas","Algeria",24,73,76,"Napoli","RW",4200000,40000
"67","Joaquín Montecinos","Chile",25,73,74,"Club Tijuana","RW",3600000,19000
"68","Anders Dreyer","Denmark",23,73,79,"FC Midtjylland","RW",4800000,21000
"69","Thembinkosi Lorch","South Africa",27,73,73,"Orlando Pirates","RW",3200000,950
"70","Jhon Murillo","Venezuela",25,73,74,"Club Atlético de San Luis","RW",3600000,15000
"71","Dennis Man","Romania",22,73,82,"Parma","RW",7e+06,4000
"72","Hillal Soudani","Algeria",33,73,73,"Damac FC","RW",1900000,19000
"73","Charly Musonda","Belgium",24,72,75,"Chelsea","RW",3200000,56000
"74","Alberto Quintero","Panama",33,72,72,"Club Universitario de Deportes","RW",1500000,1000
"75","Brennan Johnson","Wales",20,72,82,"Nottingham Forest","RW",5e+06,28000
"76","Albert Guðmundsson","Iceland",24,72,78,"Genoa","RW",3700000,12000
"77","Yusuf Demir","Austria",18,72,83,"SK Rapid Wien","RW",4900000,9000
"78","Carlos Manuel Cardoso Mané","Portugal",27,72,72,"Yukatel Kayserispor","RW",2500000,12000
"79","Yira Sor","Nigeria",20,72,81,"SK Slavia Praha","RW",5e+06,650
"80","Vincent Pule","South Africa",29,72,72,"Orlando Pirates","RW",2300000,850
"81","Mitchell van Bergen","Netherlands",21,72,78,"Stade de Reims","RW",3800000,15000
"82","Matías Pisano","Argentina",29,72,72,"Club Atlético Aldosivi","RW",2300000,11000
"83","Ola Solbakken","Norway",22,72,80,"FK Bodø/Glimt","RW",5500000,5000
"84","Bakery Jatta","Gambia",23,72,75,"Hamburger SV","RW",3200000,11000
"85","Sorba Thomas","Wales",22,71,78,"Huddersfield Town","RW",3800000,7000
"86","Alexis Flips","France",21,71,78,"Stade de Reims","RW",3800000,13000
"87","Kamal Sowah","Ghana",21,71,80,"AZ Alkmaar","RW",4200000,13000
"88","Agustín Bouzat","Argentina",27,71,71,"Vélez Sarsfield","RW",2e+06,11000
"89","Francisco Ribeiro Tomé","Portugal",25,71,72,"FC Vizela","RW",2200000,5000
"90","Gabriel Tadeu Strefezza Rebelato","Brazil",24,71,74,"Lecce","RW",2600000,3000
"91","Barrie McKay","Scotland",26,71,71,"Heart of Midlothian","RW",2e+06,6000
"92","Pablo Solari","Argentina",20,71,82,"Colo-Colo","RW",4100000,5000
"93","Mourad Batna","Morocco",31,71,71,"Al Fateh","RW",1600000,20000
"94","Grady Diangana","England",23,71,77,"West Bromwich Albion","RW",3e+06,25000
"95","Virgil Misidjan","Netherlands",27,70,70,"FC Twente","RW",1700000,7000
"96","Robbie Brady","Republic of Ireland",29,70,70,"AFC Bournemouth","RW",1600000,21000
"97","Luis González","Venezuela",30,70,70,"Junior FC","RW",1500000,2000
"98","Antonino Ragusa","Italy",31,70,70,"Lecce","RW",1300000,3000
"99","Gökhan Töre","Turkey",29,70,70,"Besiktas JK","RW",1600000,25000
"100","Tyrhys Dolan","England",19,70,81,"Blackburn Rovers","RW",3400000,15000
"101","Håkon Evjen","Norway",21,70,79,"AZ Alkmaar","RW",3600000,5000
"102","Aron Dønnum","Norway",23,70,76,"Vålerenga Fotball","RW",2500000,9000
"103","André Bukia","Congo DR",26,70,70,"FC Arouca","RW",1700000,5000
"104","Jack Byrne","Republic of Ireland",25,70,71,"Shamrock Rovers","RW",1900000,3000
"105","Jonathan Levi","Sweden",25,70,71,"IFK Norrköping","RW",1900000,5000
"106","Jordan Clark","England",27,69,69,"Luton Town","RW",1500000,8000
"107","Antoine Leautey","France",25,69,70,"Gil Vicente FC","RW",1700000,6000
"108","Matheo Zoch","Bolivia",23,69,78,"Club The Strongest","RW",3100000,550
"109","Zakaria Aboukhlal","Morocco",21,69,79,"AZ Alkmaar","RW",3100000,5000
"110","Joe Lolley","England",28,69,69,"Nottingham Forest","RW",1400000,25000
"111","Reda Khadra","Germany",19,69,78,"Blackburn Rovers","RW",3e+06,16000
