"","name","country","age","overall","potential","club","pos","value","wage"
"1","Reece James","England",21,83,87,"Chelsea","RWB",49500000,90000
"2","Nélson Cabral Semedo","Portugal",27,81,81,"Wolverhampton Wanderers","RWB",2.5e+07,86000
"3","Denzel Dumfries","Netherlands",25,81,83,"Inter","RWB",29500000,90000
"4","Rick Karsdorp","Netherlands",26,80,80,"Roma","RWB",2.1e+07,54000
"5","Pedro Antonio Porro Sauceda","Spain",21,80,87,"Sporting CP","RWB",40500000,80000
"6","Hans Hateboer","Netherlands",27,80,80,"Atalanta","RWB",20500000,51000
"7","Davide Zappacosta","Italy",29,79,79,"Atalanta","RWB",15500000,51000
"8","Jonathan Clauss","France",28,79,79,"Racing Club de Lens","RWB",1.6e+07,34000
"9","Matteo Darmian","Italy",31,79,79,"Inter","RWB",12500000,85000
"10","Ricardo Sousa Esgaio","Portugal",28,78,78,"Sporting CP","RWB",12500000,15000
"11","Stefan Lainer","Austria",28,78,78,"Borussia Mönchengladbach","RWB",12500000,29000
"12","Emerson Leite De Souza","Brazil",22,78,82,"Tottenham Hotspur","RWB",1.9e+07,63000
"13","Matt Doherty","Republic of Ireland",29,77,77,"Tottenham Hotspur","RWB",9500000,72000
"14","Marco Davide Faraoni","Italy",29,77,77,"Hellas Verona","RWB",9500000,27000
"15","Joakim Mæhle","Denmark",24,77,80,"Atalanta","RWB",13500000,35000
"16","Christopher Trimmel","Austria",34,77,77,"1. FC Union Berlin","RWB",3900000,29000
"17","Silvan Widmer","Switzerland",28,77,77,"1. FSV Mainz 05","RWB",9500000,25000
"18","Ainsley Maitland-Niles","England",23,76,80,"Roma","RWB",1e+07,52000
"19","Nahuel Molina","Argentina",23,76,82,"Udinese Calcio","RWB",1.1e+07,14000
"20","Fabien Centonze","France",25,76,79,"FC Metz","RWB",9e+06,17000
"21","Tariq Lamptey","England",20,75,84,"Brighton & Hove Albion","RWB",1.2e+07,32000
"22","Thomas Foket","Belgium",26,75,76,"Stade de Reims","RWB",6e+06,22000
"23","Danny da Costa","Germany",27,74,74,"Eintracht Frankfurt","RWB",4100000,22000
"24","Japhet Tanganga","England",22,74,82,"Tottenham Hotspur","RWB",9e+06,49000
"25","Djed Spence","England",20,73,81,"Nottingham Forest","RWB",6500000,15000
"26","Jayden Bogle","England",20,73,82,"Sheffield United","RWB",6500000,15000
"27","Eli Dasa","Israel",28,73,73,"Vitesse","RWB",2800000,14000
"28","Wilfried Singo","Côte d'Ivoire",20,73,85,"Torino F.C.","RWB",7e+06,21000
"29","Almamy Touré","Mali",25,73,75,"Eintracht Frankfurt","RWB",3500000,19000
"30","Reggie Cannon","United States",23,73,81,"Boavista FC","RWB",6500000,10000
"31","Bart Nieuwkoop","Netherlands",25,73,75,"Royale Union Saint-Gilloise","RWB",3500000,12000
"32","Deyovaisio Zeefuik","Netherlands",23,73,78,"Blackburn Rovers","RWB",4300000,25000
"33","George Baldock","England",28,72,72,"Sheffield United","RWB",2100000,20000
"34","Joel Andersson","Sweden",24,72,75,"FC Midtjylland","RWB",3e+06,15000
"35","Numa Lavanchy","Switzerland",27,72,72,"FC Lugano","RWB",2300000,8000
"36","Richie Laryea","Canada",26,72,73,"Nottingham Forest","RWB",2500000,31000
"37","Ryan Nyambe","Namibia",23,72,78,"Blackburn Rovers","RWB",3500000,24000
"38","Erik Durm","Germany",29,72,72,"Eintracht Frankfurt","RWB",2100000,18000
"39","Darnell Furlong","England",25,72,75,"West Bromwich Albion","RWB",2900000,26000
"40","Javier Abella","Mexico",27,71,71,"Club Atlas","RWB",1800000,9000
"41","Gonzalo Ávila Gordón","Spain",23,71,78,"Huddersfield Town","RWB",3600000,6000
"42","James Bree","England",23,71,75,"Luton Town","RWB",2500000,8000
"43","Joe Scally","United States",18,71,82,"Borussia Mönchengladbach","RWB",3800000,5000
"44","Isaiah Jones","England",22,71,77,"Middlesbrough","RWB",2800000,14000
"45","Cyrus Christie","Republic of Ireland",28,71,71,"Swansea City","RWB",1700000,31000
"46","Miao Tang","China PR",30,71,71,"Guangzhou City","RWB",1600000,10000
"47","Callum Brittain","England",23,70,76,"Barnsley","RWB",2400000,18000
"48","Felix Agu","Germany",21,70,81,"SV Werder Bremen","RWB",3400000,5000
"49","Mohamed Dräger","Tunisia",25,70,75,"FC Luzern","RWB",2200000,23000
"50","Igor Silva de Almeida","Brazil",24,70,75,"FC Lorient","RWB",2200000,9000
"51","Perry Ng","England",25,70,73,"Cardiff City","RWB",1900000,16000
"52","Kevin Rüegg","Switzerland",22,70,78,"FC Lugano","RWB",3400000,11000
"53","Arnau Martínez López","Spain",18,70,82,"Girona FC","RWB",3500000,2000
"54","Alistair Johnston","Canada",22,70,75,"Club de Foot Montréal","RWB",2300000,4000
"55","Todd Kane","England",27,70,70,"Coventry City","RWB",1500000,12000
"56","Federico Vera","Argentina",23,69,75,"Unión de Santa Fe","RWB",2100000,6000
"57","Gustavo H. Ferrareis","Brazil",25,69,70,"Puebla FC","RWB",1500000,4000
"58","Mads Roerslev","Denmark",22,69,76,"Brentford","RWB",2700000,16000
"59","Nikola Boranijaševic","Serbia",29,69,69,"FC Zürich","RWB",1200000,9000
