name,country,age,overall,potential,club,best_position,value,wage,Crossing,Finishing,Heading Accuracy,Short passing,Volleys,Dribbling,Curve,Fk Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,Diving,Handling,Kicking,Reflexes
Aurélien Tchouaméni,France,21,81,88,AS Monaco,CM,52000000.0,46000.0,68,67,73,84,50,78,76,53,83,80,70,73,75,81,71,78,74,86,82,72,82,84,12,82,55,82,80,83,78,9,8,12,7
Marcel Lotka,Poland,20,63,75,Hertha BSC,GK,1000000.0,4000.0,12,11,11,20,8,9,12,7,23,12,24,21,26,49,29,41,38,29,54,8,22,10,67,23,10,30,8,10,9,65,62,54,65
Saša Kalajdžić,Austria,23,77,82,VfB Stuttgart,ST,16000000.0,27000.0,59,82,86,74,68,74,50,47,64,78,64,61,63,78,54,74,55,67,82,61,44,32,14,70,41,72,39,46,47,7,6,13,15
Adam Hložek,Czech Republic,18,77,87,AC Sparta Praha,CAM,22000000.0,500.0,69,75,73,75,73,78,68,64,68,79,79,78,69,76,78,78,70,76,84,76,70,23,11,78,66,80,23,32,23,11,10,9,10
Noussair Mazraoui,Morocco,23,82,86,Ajax,RB,40500000.0,20000.0,78,69,65,82,56,82,67,42,75,84,83,84,86,77,67,68,69,88,68,61,69,80,12,76,44,79,74,77,80,12,7,13,12
Christopher Nkunku,France,23,86,89,RB Leipzig,CAM,93000000.0,110000.0,81,85,63,85,70,87,82,80,80,87,87,91,88,84,90,79,59,74,64,78,59,67,15,84,67,81,67,72,60,5,6,10,7
Rafael da Conceição Leão,Portugal,22,82,90,AC Milan,LW,68500000.0,52000.0,69,80,63,76,74,89,80,60,62,85,90,92,82,83,80,80,62,75,80,72,60,24,11,74,63,81,22,24,21,10,12,15,9
Pau Francisco Torres,Spain,24,82,89,Villarreal CF,CB,56500000.0,35000.0,55,28,85,80,41,64,45,28,76,79,70,74,69,80,52,58,78,80,80,40,79,82,13,67,42,73,84,84,83,11,13,13,9
Maxwel Cornet,Côte d'Ivoire,24,78,81,Burnley,LM,19000000.0,34000.0,73,75,70,74,72,79,71,69,62,76,86,87,82,71,78,81,77,89,72,77,72,66,12,70,64,67,64,70,66,16,13,8,9
Darwin Núñez,Uruguay,22,79,87,SL Benfica,ST,39500000.0,16000.0,67,82,76,69,73,73,68,61,54,75,91,86,78,82,67,85,73,89,88,73,78,41,10,71,76,82,36,39,33,14,10,12,13
Filip Kostić,Serbia,28,84,84,Eintracht Frankfurt,LM,42500000.0,52000.0,91,76,59,80,73,86,79,80,75,82,87,84,76,82,79,86,67,90,77,78,80,63,12,81,66,80,69,72,68,13,14,12,13
Evander da Silva Ferreira,Brazil,23,76,81,FC Midtjylland,CM,11500000.0,24000.0,72,67,51,76,55,80,77,74,74,77,76,70,84,75,83,77,64,83,52,72,70,71,11,79,74,75,71,68,56,11,8,12,6
