name,age,overall,potential,diff,hh
Greg Halford,36,59,59,0,muture
Santiago Silva,40,71,71,0,muture
Sammy Bossut,35,69,69,0,muture
Marcelo Barovero,37,70,70,0,muture
Enrique Bologna,39,72,72,0,muture
Santiago Salcedo,39,66,66,0,muture
Mikel Rico Moreno,36,70,70,0,muture
Luíz Carlos Martins Moreira,35,71,71,0,muture
Paweł Kieszek,37,66,66,0,muture
Peter Clarke,39,65,65,0,muture
Lee Camp,36,63,63,0,muture
Liam Feeney,34,61,61,0,muture
Ian Henderson,36,62,62,0,muture
Alexander Walke,38,67,67,0,muture
Mahir Sağlik,38,61,61,0,muture
İbrahim Öztürk,40,66,66,0,muture
Michael Liendl,35,73,73,0,muture
Chris Porter,37,62,62,0,muture
Francisco Jiménez Tejada,35,66,66,0,muture
Brad Guzan,36,67,67,0,muture
Josh Lillis,34,59,59,0,muture
Brad Jones,39,66,66,0,muture
Fatih Öztürk,34,66,66,0,muture
Shaun Whalley,33,63,63,0,muture
Yannick Cahuzac,36,72,72,0,muture
Henok Goitom,36,67,67,0,muture
José Carlos Gonçalves Rodrigues,32,75,75,0,muture
Lee Peltier,34,68,68,0,muture
Ryan Shawcross,33,66,66,0,muture
Paul Aguilar,35,70,70,0,muture
Jonatan Maidana,35,73,73,0,muture
İlhan Parlak,34,67,67,0,muture
Lee Tomlin,32,65,65,0,muture
Keiren Westwood,36,68,68,0,muture
Jason Pearce,33,64,64,0,muture
Samir Ujkani,32,69,69,0,muture
Sacha Kljestan,35,68,68,0,muture
Mevlüt Erdinç,33,70,70,0,muture
Andreas Beck,34,67,67,0,muture
Alexandre Oukidja,32,74,74,0,muture
Wilmer Aguirre,38,67,67,0,muture
Gaëtan Bong,33,66,66,0,muture
Paul Baysse,33,71,71,0,muture
Charlie Mulgrew,35,68,68,0,muture
Federico Peluso,37,70,70,0,muture
Vitorino Pacheco Antunes,34,74,74,0,muture
Rouwen Hennings,33,71,71,0,muture
Miralem Sulejmani,32,71,71,0,muture
Bořek Dočkal,32,73,73,0,muture
Nikita Rukavytsya,33,69,69,0,muture
Mark Beevers,31,67,67,0,muture
Lucas Barrios,36,69,69,0,muture
Andrew Redmayne,32,67,67,0,muture
Fin Bartels,34,72,72,0,muture
Prince Oniangué,32,68,68,0,muture
Ernesto Torregrossa,29,71,71,0,muture
Hólmbert Aron Friðjónsson,28,65,65,0,muture
Carlos Rivas,27,65,65,0,muture
Alexander Mesa Travieso,26,67,67,0,muture
Yesus Cabrera,30,72,72,0,muture
Yong Hwan Kim,28,66,66,0,muture
Musa Araz,27,65,65,0,muture
Amaury Torralvo,27,65,65,0,muture
Niklas Sandberg,26,67,67,0,muture
Jin Beom An,29,57,57,0,muture
Paul Anton,30,69,69,0,muture
Strahil Popov,30,69,69,0,muture
Miao Tang,30,71,71,0,muture
Ke Shi,28,68,68,0,muture
Fabián Viáfara,29,70,70,0,muture
Florian David,28,65,65,0,muture
